来源页面	附件URL	文件名	本地相对路径	大小	状态
https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202307/t20230720_1925576.htm	https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202307/P020230720579813396814.ofd	P020230720579813396814.ofd	smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202307/1925576/attachments/P020230720579813396814.ofd	8736	done
https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202305/t20230519_1906925.htm	https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202305/P020230519422937584513.ofd	P020230519422937584513.ofd	smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202305/1906925/attachments/P020230519422937584513.ofd	215489	done
https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202304/t20230423_1898566.htm	https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202304/P020230423403420608605.ofd	P020230423403420608605.ofd	smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202304/1898566/attachments/P020230423403420608605.ofd	193102	done
https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202301/t20230105_1868860.htm	https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202301/P020230105317282154582.ofd	P020230105317282154582.ofd	smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202301/1868860/attachments/P020230105317282154582.ofd	133718	done
https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202301/t20230105_1868848.htm	https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202301/P020230105305458417784.ofd	P020230105305458417784.ofd	smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202301/1868848/attachments/P020230105305458417784.ofd	126230	done
https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202211/t20221129_1852225.htm	https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202211/P020221129565904611058.ofd	P020221129565904611058.ofd	smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202211/1852225/attachments/P020221129565904611058.ofd	256619	done
https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202211/t20221115_1846725.htm	https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202211/P020221115634803760356.ofd	P020221115634803760356.ofd	smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202211/1846725/attachments/P020221115634803760356.ofd	220913	done
https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202209/t20220915_1828858.htm	https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202209/P020220915757329912979.ofd	P020220915757329912979.ofd	smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202209/1828858/attachments/P020220915757329912979.ofd	238037	done
https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202209/t20220913_1827852.htm	https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202209/P020220915568079543626.ofd	P020220915568079543626.ofd	smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202209/1827852/attachments/P020220915568079543626.ofd	308504	done
https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202208/t20220828_1822892.htm	https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202208/P020220828754959621754.ofd	P020220828754959621754.ofd	smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202208/1822892/attachments/P020220828754959621754.ofd	133677	done
https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202207/t20220722_1808746.htm	https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202207/P020220808617852687534.ofd	P020220808617852687534.ofd	smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202207/1808746/attachments/P020220808617852687534.ofd	266565	done
https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202206/t20220630_1802008.htm	https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202206/P020220630293443320079.ofd	P020220630293443320079.ofd	smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202206/1802008/attachments/P020220630293443320079.ofd	167440	done
https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202206/t20220629_1801929.htm	https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202206/P020220629613016258546.ofd	P020220629613016258546.ofd	smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202206/1801929/attachments/P020220629613016258546.ofd	146648	done
https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202206/t20220622_1799374.htm	https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202206/P020220622420965992248.ofd	P020220622420965992248.ofd	smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202206/1799374/attachments/P020220622420965992248.ofd	378389	done
https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202205/t20220525_1791178.htm	https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202205/P020220525575859169743.ofd	P020220525575859169743.ofd	smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202205/1791178/attachments/P020220525575859169743.ofd	120045	done
https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202205/t20220510_1785280.htm	https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202205/P020220510673631136744.ofd	P020220510673631136744.ofd	smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202205/1785280/attachments/P020220510673631136744.ofd	593949	done
https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202205/t20220510_1785266.htm	https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202205/P020220510660246713917.ofd	P020220510660246713917.ofd	smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202205/1785266/attachments/P020220510660246713917.ofd	267581	done
https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202204/t20220427_1781413.htm	https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202204/P020220427621191397471.ofd	P020220427621191397471.ofd	smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202204/1781413/attachments/P020220427621191397471.ofd	195912	done
